,ID,block,trial_number,food,reaction_time,rating,fat,sugar
0,1,health,1,apple,2.68,7.0,high,low
1,1,health,2,beef,2.05,4.0,high,high
2,1,health,3,eggs,,,low,low
3,1,health,4,cookie,0.86,4.0,high,high
4,1,health,5,bacon,1.51,8.0,low,high
5,1,health,6,donut,3.15,8.0,high,high
6,1,health,7,broccoli,2.09,8.0,low,high
7,1,health,8,kale,2.47,5.0,low,high
8,1,health,9,fries,1.46,9.0,low,high
9,1,health,10,bacon,1.7,2.0,low,high
10,1,health,11,pasta,3.96,1.0,low,high
11,1,health,12,cake,0.98,9.0,high,low
12,1,health,13,cake,1.98,10.0,high,low
13,1,health,14,syrup,3.18,6.0,low,low
14,1,health,15,spinach,3.36,4.0,low,low
15,1,health,16,burger,0.68,4.0,high,high
16,1,health,17,shrimp,0.89,10.0,high,high
17,1,health,18,cereal,2.49,1.0,high,high
18,1,health,19,steak,1.55,6.0,high,low
19,1,health,20,candy,1.55,7.0,high,low
20,1,health,21,soda,1.35,1.0,low,high
21,1,health,22,grapes,1.25,3.0,high,high
22,1,health,23,onion rings,3.31,1.0,low,low
23,1,health,24,pasta,3.17,6.0,low,high
24,1,health,25,peach,3.98,8.0,high,low
25,1,health,26,burger,3.16,9.0,high,high
26,1,health,27,peach,2.33,2.0,high,low
27,1,health,28,onion rings,3.76,2.0,low,low
28,1,health,29,milk,1.0,4.0,low,high
29,1,health,30,fries,1.81,2.0,low,high
30,1,health,31,chocolate,2.33,7.0,high,high
31,1,health,32,carrot,2.92,2.0,high,high
32,1,health,33,cucumber,3.36,8.0,low,high
33,1,health,34,beans,2.57,9.0,low,high
34,1,health,35,cookie,1.01,3.0,high,high
35,1,health,36,avocado,1.35,10.0,low,low
36,1,health,37,kale,1.57,9.0,low,high
37,1,health,38,eggs,1.89,6.0,low,low
38,1,health,39,candy,1.98,9.0,high,low
39,1,health,40,peach,2.11,4.0,high,low
40,1,health,41,cheese,2.79,8.0,high,low
41,1,health,42,onion rings,3.94,1.0,low,low
42,1,health,43,cookie,1.75,1.0,high,high
43,1,health,44,waffles,2.0,9.0,low,low
44,1,health,45,grapes,0.74,5.0,high,high
45,1,health,46,fries,1.75,6.0,low,high
46,1,health,47,oatmeal,2.0,8.0,high,low
47,1,health,48,pasta,0.81,6.0,low,high
48,1,health,49,toast,1.39,6.0,high,high
49,1,health,50,ice cream,1.18,3.0,high,low
50,1,health,51,peanut butter,3.34,3.0,low,low
51,1,health,52,peach,1.5,1.0,high,low
52,1,health,53,kale,0.68,6.0,low,high
53,1,health,54,tofu,2.44,1.0,low,high
54,1,health,55,rice,2.45,6.0,low,low
55,1,health,56,peanut butter,3.1,9.0,low,low
56,1,health,57,syrup,2.77,1.0,low,low
57,1,health,58,pear,3.22,6.0,high,high
58,1,health,59,cheese,1.31,9.0,high,low
59,1,health,60,pasta,1.3,8.0,low,high
60,1,health,61,eggs,1.82,7.0,low,low
61,1,health,62,soda,2.9,8.0,low,high
62,1,health,63,oatmeal,1.45,7.0,high,low
63,1,health,64,mango,3.82,4.0,low,low
64,1,health,65,fries,1.43,6.0,low,high
65,1,health,66,carrot,2.22,3.0,high,high
66,1,health,67,yogurt,2.04,5.0,low,high
67,1,health,68,apple,1.26,9.0,high,low
68,1,health,69,beans,2.01,8.0,low,high
69,1,health,70,peach,3.0,2.0,high,low
