Food_image,HI_LO_fat,food,Total kcal,CHO_g,PRO_g,Fat_g,CHO_pctKcal,PRO_pctKcal,Fat_pctKcal,Energy_Density,...13,stimulus
1%milk.jpg,0,1% milk,42,4.99,3.37,0.97,45.979,34.262,20.301,0.42,NA,1%milk
air popcorn.jpg,0,Air-popped popcorn,387,77,12.94,4.54,81.121,9.128,9.819,3.87,NA,air popcorn
american cheese.jpg,1,American cheese,375,1.6,22.15,31.25,1.651,25.221,73.25,3.75,NA,american cheese
apple slices.jpg,0,Apple,52,13.81,0.26,0.17,95.608,1.68,2.736,0.52,NA,apple slices
avacado.jpg,1,Avocado: green,120,7.82,2.23,10.06,23.46,6.244,70.169,1.2,NA,avacado
baby cheese.jpg,1,Baby Bell cheese w/crackers,374.1,19.642,19.642,24.107,21,21,58,3.74,NA,baby cheese
bagel and cc.jpg,1,Bagel & cream cheese,282.15,36.898,8.822,11.175,52.303,12.684,34.932,2.82,NA,bagel and cc
bagel plain.jpg,0,Bagel: plain,257,50.5,10.02,1.62,78.599,15.595,5.673,2.57,NA,bagel plain
baguette oil.jpg,1,Baguette with olive oil,420.49,43.949,9.149,23.529,41.789,8.7,49.554,4.2,NA,baguette oil
baked potato.jpg,0,Baked Potato,93,21.15,2.5,0.13,91.65,7.473,1.17,0.93,NA,baked potato
banana.jpg,0,Banana,89,22.84,1.09,0.33,92.387,4.115,3.103,0.89,NA,banana
blackbeanswithrice.jpg,0,Black Beans w/ rice,129,25.485,5.68,0.39,81.706,15.7,2.6,1.29,NA,blackbeanswithrice
blueberries.jpg,0,Blueberries,57,14.49,0.74,0.33,91.516,4.362,4.846,0.57,NA,blueberries
broccoli cauliflower.jpg,0,Broccoli & Cauliflower: raw,30,5.97,2.4,0.235,72.247,19.851,6.668,0.3,NA,broccoli cauliflower
broccoli.jpg,0,Broccoli – raw,34,6.64,2.82,0.37,69.72,20.238,9.109,0.34,NA,broccoli
brownie.jpg,1,Brownie,597,75.619,6.367,33.588,46.996,3.45,48.971,5.97,NA,brownie
burger.jpg,1,"Burger on bun: homemade, 80 % lean,",178.14,12.696,13.236,7.897,28.882,31.063,39.901,1.78,NA,burger
burrito.jpg,0,Burrito - Amy’s Bean & Cheese,181.76,27.05,6.47,5.294,59.6,14.2,26.2,1.81,NA,burrito
cantaloupe.jpg,0,Cantaloupe,34,8.16,0.84,0.19,86.4,8.301,4.677,0.34,NA,cantaloupe
carrotsticks.jpg,0,Carrot Sticks,41,9.58,0.93,0.24,89.725,6.306,4.9,0.41,NA,carrotsticks
celery and carrot sticks.jpg,0,Celery & Carrot Sticks,29,6.275,0.81,0.205,85.381,9.378,6.208,0.29,NA,celery and carrot sticks
celerysticks.jpg,0,Celery sticks,16,2.97,0.69,0.17,74.25,17.25,9.563,0.16,NA,celerysticks
cheerios.jpg,0,Cheerios (dry),367,74.68,11.33,5.9,75.901,10.682,13.456,3.67,NA,cheerios
Cheese nachos.jpg,1,Cheese Nachos,370,31.854,9.412,22.481,36.144,10.356,53.528,3.7,NA,Cheese nachos
cheesecubes.jpg,1,Cheese cubes (mild cheddar),403,1.28,24.9,33.14,1.229,26.383,72.283,4.03,NA,cheesecubes
cheezeits.jpg,1,Cheeze-It,509,60.738,8.877,25.396,49.114,7.043,43.912,5.09,NA,cheezeits
cherries.jpg,0,Cherries,63,16.01,1.06,0.2,91.486,5.653,2.657,0.63,NA,cherries
cherry tomato.jpg,0,Cherry tomatoes,18,3.92,0.88,0.2,77.747,11.929,9.3,0.18,NA,cherry tomato
chicken nuggets2.jpg,1,Chicken nuggets w BBQ Sauce,269.387,18.136,12.564,16.193,27.052,19.724,53.305,2.69,NA,chicken nuggets2
chickenfingers.jpg,1,Chicken fingers - Perdue Crispy Chicken Strips,201.164,15.294,16.4696,8.2348,30.4,32.7,36.9,2.01,NA,chickenfingers
chickennoodlesoup.jpg,0,Chicken noodle soup - Campbell’s Classic,43.6731,5.30608,2.85712,1.22448,48.6,26.2,25.2,0.43,NA,chickennoodlesoup
chocolatecoveredpretzels.jpg,1,Chocolate (dark) covered pretzels - Flipz,525,67.8571,7.14285,25,51.7,5.4,42.9,5.25,NA,chocolatecoveredpretzels
cocktailshrimp.jpg,0,Cocktail shrimp,99,0,20.91,1.08,0,90.188,9.84,0.99,NA,cocktailshrimp
cookies.jpg,1,Choc Chip cookies - Entenmann’s,489.96,66.666,3.33,23.33,54.4,2.7,42.9,4.89,NA,cookies
corn cob.jpg,0,Corn on Cob,108,25.11,3.32,1.28,83.002,7.501,9.92,1.08,NA,corn cob
craisins.jpg,0,Craisins - Ocean Spray,308,82.36,0.07,1.37,96.265,0.076,3.723,3.08,NA,craisins
croissant.jpg,1,Croissant - plain,455,46.841,8.041,26.262,42.092,7.178,50.74,4.55,NA,croissant
cucumber slices.jpg,0,Cucumber slices,15,3.63,0.65,0.11,86.394,10.573,6.138,0.15,NA,cucumber slices
cupcakes am.jpg,1,Cupcakes: mini frosted,350.699,56.338,2.817,12.676,64.3,3.2,32.5,3.5,NA,cupcakes am
doritos.jpg,1,Doritos – Nacho Cheese,497,54.64,5.4,28.46,44,4.4,51.6,4.97,NA,doritos
doughnuts.jpg,1,Doughnuts: frosted/ yeast-type,405,48.996,5.673,21.046,48.37,5.565,45.899,4.05,NA,doughnuts
edamame.jpg,1,Edamame,141,11.05,12.35,6.4,31.896,30.393,37.991,1.41,NA,edamame
